zone_id,timestamp,anomaly_score,is_disruption,predicted_surge_pct,affected_line,cascade_zone_ids,time_to_peak_min,z_subway,z_pickups,taxi_pickups,subway_ridership,bike_starts
239,2023-01-31 23:00:00,0.14276393102429485,0,0,-,,0,-0.40029727206844906,-0.6083817521030934,30.0,26648.0,7
240,2023-01-31 23:00:00,0.015603818719451594,0,0,-,,0,0.09362291231670956,0.0,0.0,1736.0,0
241,2023-01-31 23:00:00,0.015603818719451594,0,0,-,,0,0.09362291231670956,0.0,0.0,1736.0,0
242,2023-01-31 23:00:00,0.21970796648425386,0,0,-,,0,0.09362291231670956,1.632833182118418,1.0,1736.0,0
243,2023-01-31 23:00:00,0.12428698532038797,0,0,-,,0,-0.40029727206844906,-0.46056618647183833,0.0,26648.0,0
244,2023-01-31 23:00:00,0.18845332716514682,0,0,-,,0,-0.40029727206844906,-0.9738969212299091,0.0,26648.0,0
245,2023-01-31 23:00:00,0.07686548728356261,0,0,-,,0,-0.4611929237013757,0.0,0.0,53.0,0
246,2023-01-31 23:00:00,0.12781037575847737,0,0,-,,0,-0.40029727206844906,0.48875330997655364,43.0,26648.0,10
247,2023-01-31 23:00:00,0.08563851115977358,0,0,-,,0,0.09362291231670956,-0.5602775395225759,0.0,1736.0,0
248,2023-01-31 23:00:00,0.015603818719451594,0,0,-,,0,0.09362291231670956,0.0,0.0,1736.0,0
249,2023-01-31 23:00:00,0.09935894017900126,0,0,-,,0,-0.40029727206844906,-0.2611418253407447,138.0,26648.0,34
250,2023-01-31 23:00:00,0.042253908263902906,0,0,-,,0,0.09362291231670956,-0.21320071635561047,0.0,1736.0,0
251,2023-01-31 23:00:00,0.07686548728356261,0,0,-,,0,-0.4611929237013757,0.0,0.0,53.0,0
252,2023-01-31 23:00:00,0.1387776869871748,0,0,-,,0,-0.6009482291780521,-0.30895719032666236,0.0,3336.0,0
253,2023-01-31 23:00:00,0.10015803819634202,0,0,-,,0,-0.6009482291780521,0.0,0.0,3336.0,0
254,2023-01-31 23:00:00,0.042253908263902906,0,0,-,,0,0.09362291231670956,-0.21320071635561047,0.0,1736.0,0
255,2023-01-31 23:00:00,0.15197784322591484,0,0,-,,0,-0.3549707440658193,-0.7425284203862264,0.0,6100.0,0
256,2023-01-31 23:00:00,0.05916179067763655,0,0,-,,0,-0.3549707440658193,0.0,2.0,6100.0,0
257,2023-01-31 23:00:00,0.05916179067763655,0,0,-,,0,-0.3549707440658193,0.0,0.0,6100.0,0
258,2023-01-31 23:00:00,0.1387776869871748,0,0,-,,0,-0.6009482291780521,-0.30895719032666236,0.0,3336.0,0
259,2023-01-31 23:00:00,0.015603818719451594,0,0,-,,0,0.09362291231670956,0.0,0.0,1736.0,0
260,2023-01-31 23:00:00,0.16639018945962628,0,0,-,,0,-0.6009482291780521,-0.5298572101062741,0.0,3336.0,0
261,2023-01-31 23:00:00,0.19982300892894406,0,0,-,,0,-0.40029727206844906,-1.064854375340287,5.0,26648.0,1
262,2023-01-31 23:00:00,0.12020432083634021,0,0,-,,0,-0.40029727206844906,-0.42790487059945626,11.0,26648.0,2
263,2023-01-31 23:00:00,0.11935869908359997,0,0,-,,0,-0.40029727206844906,-0.4211398965775343,41.0,26648.0,10
